participant,topic,system,normalized_gain,kgain,pre_acc,post_acc,article_id,article_key,article_version_label,group,student_id,order,category,n_questions
G3a_9,29866,Ours,0.8,0.6666666666666666,0.16666666666666666,0.8333333333333334,29866,news_0,news_0a,G3a,9,8,Nature,6
G3a_9,29873,Ours,0.4,0.3333333333333333,0.16666666666666666,0.5,29873,news_0,news_0a,G3a,9,9,Humans,6
G3a_9,29902,Ours,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,29902,news_0,news_0a,G3a,9,10,Nature,6
G3a_9,29929,Ours,0.8,0.6666666666666666,0.16666666666666666,0.8333333333333334,29929,news_0,news_0a,G3a,9,11,Physics,6
G3a_9,29943,Baseline,1.0,1.0,0.0,1.0,29943,news_2,news_2b,G3a,9,12,Tech,6
G3a_9,29958,Baseline,0.7499999999999999,0.5,0.3333333333333333,0.8333333333333334,29958,news_2,news_2b,G3a,9,13,Physics,6
G3a_9,29988,Baseline,0.5,0.5,0.0,0.5,29988,news_2,news_2b,G3a,9,14,Humans,6
G3a_9,30052,Ours,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,30052,news_0,news_0a,G3a,9,15,Physics,6
G3a_9,30061,Baseline,0.6,0.5,0.16666666666666666,0.6666666666666666,30061,news_2,news_2b,G3a,9,16,Physics,6
G3a_9,30086,Ours,0.6,0.5,0.16666666666666666,0.6666666666666666,30086,news_0,news_0a,G3a,9,17,Space,6
G3a_9,30184,Ours,1.0,0.8333333333333334,0.16666666666666666,1.0,30184,news_0,news_0a,G3a,9,18,Tech,6
G3a_9,30214,Baseline,0.4,0.3333333333333333,0.16666666666666666,0.5,30214,news_2,news_2b,G3a,9,19,Space,6
G3a_9,30708,Baseline,1.0,0.3333333333333333,0.6666666666666666,1.0,30708,news_2,news_2b,G3a,9,20,Tech,6
G3a_10,29733,Baseline,1.0,0.3333333333333333,0.6666666666666666,1.0,29733,news_2,news_2b,G3a,10,1,Health,6
G3a_10,29734,Baseline,0.5000000000000001,0.16666666666666666,0.6666666666666666,0.8333333333333334,29734,news_2,news_2b,G3a,10,2,Space,6
G3a_10,29753,Baseline,1.0,0.3333333333333333,0.6666666666666666,1.0,29753,news_2,news_2b,G3a,10,4,Health,6
G3a_10,29775,Ours,1.0,0.5,0.5,1.0,29775,news_0,news_0a,G3a,10,5,Tech,6
G3a_10,29802,Ours,1.0,1.0,0.0,1.0,29802,news_0,news_0a,G3a,10,6,Humans,6
G3a_10,29846,Baseline,0.7499999999999999,0.5,0.3333333333333333,0.8333333333333334,29846,news_2,news_2b,G3a,10,7,Nature,6
G3a_10,29866,Ours,1.0,0.8333333333333334,0.16666666666666666,1.0,29866,news_0,news_0a,G3a,10,8,Nature,6
G3a_10,29873,Ours,1.0,0.8333333333333334,0.16666666666666666,1.0,29873,news_0,news_0a,G3a,10,9,Humans,6
G3a_10,29902,Ours,1.0,0.8333333333333334,0.16666666666666666,1.0,29902,news_0,news_0a,G3a,10,10,Nature,6
G3a_10,29929,Ours,1.0,0.5,0.5,1.0,29929,news_0,news_0a,G3a,10,11,Physics,6
G3a_10,29943,Baseline,0.0,0.0,0.8333333333333334,0.8333333333333334,29943,news_2,news_2b,G3a,10,12,Tech,6
G3a_10,29988,Baseline,0.6666666666666667,0.3333333333333333,0.5,0.8333333333333334,29988,news_2,news_2b,G3a,10,14,Humans,6
G3a_10,30061,Baseline,1.0,0.3333333333333333,0.6666666666666666,1.0,30061,news_2,news_2b,G3a,10,16,Physics,6
G3a_10,30086,Ours,1.0,0.5,0.5,1.0,30086,news_0,news_0a,G3a,10,17,Space,6
